loss,auc,val_loss,val_auc
0.42514488101005554,0.8978865742683411,0.3082863390445709,0.9439310431480408
0.3206692039966583,0.9379045367240906,0.3112999498844147,0.9440310597419739
0.29740017652511597,0.9460784196853638,0.298794150352478,0.9474389553070068
0.29170674085617065,0.9482496380805969,0.327991247177124,0.9342365860939026
0.2771167457103729,0.9532365202903748,0.2824932634830475,0.9531232714653015
0.26996102929115295,0.9556072354316711,0.29265284538269043,0.9513148665428162
0.2618882656097412,0.9581786394119263,0.28803470730781555,0.951408863067627
0.25568392872810364,0.9599054455757141,0.3035510778427124,0.9474132657051086
0.2545967996120453,0.9602817893028259,0.30496472120285034,0.9466724395751953
0.2436232715845108,0.9635894894599915,0.3017433285713196,0.9488435983657837
